182536110080	183084564480	0	0	0	1003
182536110080	183084707840	44564484	44075	88819	1037
91268055040	162613231616	34974364	4361422	224428	140282
91268055040	233995329536	43724309	11417614	475164	1510679
91268055040	245895053312	43908645	13810949	540566	1772810
91268055040	250853634048	43912759	14867037	560381	1903385
91268055040	249091870720	43648083	14900590	554197	1710575
91268055040	249021632512	43406006	15071501	556691	1762099
91268055040	246873923584	43225912	14811754	545872	1688416
91268055040	249714544640	43483311	15125690	553769	1802693
182536110080	183084638208	44564484	44079	88818	1017
91268055040	116964823040	25362189	3063546	111289	18840
182536110080	183085039616	44564484	44080	88818	1114
91268055040	113824661504	24715637	2961068	102232	10287
91268055040	124437286912	25584763	4169163	152367	473904
