32426	12	49	0	1	891031	959841	7251	0	0	0.494781494
32305	108	50	0	0	114451	422616	1369	0	0	0.492935181
32636	152	48	0	1	851301	1010045	1007	0	0	0.49798584
31981	751	50	1	0	32242	32243	0	384	287	0.487991333
33055	71	50	0	1	1049830	1119593	6095	0	0	0.504379272
33100	75	50	0	0	173276	300522	5152	0	0	0.505065918
32721	816	50	0	0	162945	626495	8917	0	0	0.499282837
32637	35	48	0	1	1015065	1269234	7425	0	0	0.498001099
27975	778	50	1	0	28299	28300	0	0	0	0.426864624
32071	670	50	0	1	1196798	1295571	10536	0	0	0.489364624
32581	161	51	0	0	98586	179565	1889	0	0	0.497146606
32541	178	49	0	0	156507	315633	1352	0	0	0.496536255
33079	130	50	0	0	217418	367100	4135	0	0	0.504745483
26942	751	50	1	0	23296	23296	0	0	0	0.411102295
32319	166	50	0	1	1209547	1260899	3105	0	0	0.493148804
32576	186	51	0	0	176088	344795	1359	0	0	0.497070313
31959	187	50	0	0	314217	476325	1529	0	0	0.48765564
31839	164	50	0	0	172622	616685	3863	0	0	0.485824585
32425	86	48	0	1	1103511	1380386	7986	0	0	0.494766235
25193	778	50	1	0	28770	28771	0	384	298	0.384414673
32094	177	50	0	1	1201956	1264555	4283	0	0	0.489715576
32762	392	51	0	0	281485	679125	37530	0	0	0.499908447
33372	116	48	0	1	991309	1412987	9592	0	0	0.509216309
25638	816	50	1	0	23612	23613	0	0	0	0.391204834
32607	211	50	0	1	1224181	1259777	702	0	0	0.497543335
32359	220	51	0	0	168324	271758	370	0	0	0.493759155
32125	185	50	0	0	356525	514131	5501	0	0	0.490188599
33518	39	48	0	1	992787	0	33518	0	0	0.511444092
33503	129	47	0	1	887159	2546563	33503	0	0	0.51121521
7225	778	50	1	0	12442	12443	0	0	0	0.110244751
32766	162	50	0	1	989018	1184948	32766	0	0	0.499969482
32547	181	49	0	0	768944	845868	6769	0	0	0.496627808
30236	816	50	1	0	38444	38444	0	0	0	0.461364746
32393	194	50	0	1	1205968	1289687	5788	0	0	0.494277954
32708	209	51	0	0	530968	487814	4525	0	0	0.499084473
31515	228	48	0	1	1456827	2065429	344	0	0	0.480880737
32398	196	50	0	0	362711	791117	6167	0	0	0.494354248
28729	778	50	1	0	29256	29258	0	384	310	0.438369751
31917	232	50	0	1	1083679	1118277	1274	0	0	0.487014771
32344	225	51	0	0	128387	179443	4439	0	0	0.493530273
32179	231	50	0	0	187268	536392	3442	0	0	0.491012573
32580	226	48	0	1	1065125	1342431	6985	0	0	0.497131348
27778	816	50	1	0	35706	35706	0	0	0	0.423858643
32019	236	50	0	1	1123666	1167377	3075	0	0	0.488571167
32501	237	51	0	0	142934	239343	1865	0	0	0.495925903
32041	265	50	0	0	183118	340469	849	0	0	0.48890686
32367	199	50	0	0	212878	441712	11727	0	0	0.493881226
32695	227	48	0	1	857461	0	6812	0	0	0.498886108
32737	358	47	0	1	838969	2155877	32737	0	0	0.499526978
11613	778	50	1	0	16908	16910	0	0	0	0.177200317
32751	260	50	0	1	989165	1049337	3662	0	0	0.499740601
32764	262	51	0	0	158135	378615	2858	0	0	0.499938965
32224	238	48	0	1	786875	1023406	5453	0	0	0.491699219
30602	816	50	1	0	27399	27400	0	0	0	0.466949463
32626	270	50	0	1	1047258	1107635	4628	0	0	0.497833252
32599	287	51	0	0	123552	185591	901	0	0	0.497421265
31620	234	50	0	0	165071	330363	9259	0	0	0.48248291
32237	282	49	0	1	793533	0	3352	0	0	0.491897583
32707	551	48	0	1	778889	1773008	32707	0	0	0.499069214
14226	778	50	1	0	21727	21727	0	384	0	0.217071533
32384	289	50	0	1	946519	1011925	4317	0	0	0.494140625
32762	509	51	0	0	440469	440470	32762	0	0	0.499908447
30053	392	49	1	1	339172	482010	0	30053	26190	0.458572388
32687	559	50	0	0	571145	571147	32687	0	0	0.498764038
31995	304	50	0	1	1028359	1069572	2700	0	0	0.488204956
32493	280	50	0	0	204761	358994	5693	0	0	0.495803833
32686	251	50	0	0	201872	343963	9041	0	0	0.498748779
16946	551	50	1	0	21243	21244	0	0	0	0.258575439
31990	305	50	0	1	979014	1028692	3059	0	0	0.488128662
31862	315	51	0	0	180463	299299	1621	0	0	0.486175537
32098	313	49	0	0	851259	0	3232	0	0	0.489776611
31767	320	48	0	1	898848	0	2133	0	0	0.484725952
32106	333	47	0	1	852825	2707791	0	0	0	0.489898682
29849	559	50	1	0	32359	32360	0	0	0	0.455459595
32739	189	50	0	1	1206126	1412858	32739	0	0	0.499557495
32189	300	51	0	0	191209	346983	6151	0	0	0.491165161
29179	778	50	1	0	36741	36742	0	768	0	0.445236206
31681	308	50	0	1	1104409	1165469	5248	0	0	0.483413696
31619	321	51	0	0	147062	238802	3068	0	0	0.482467651
31745	291	50	0	0	185565	611811	7762	0	0	0.484390259
32096	335	48	0	1	1074768	1341880	3822	0	0	0.489746094
25727	559	50	1	0	29807	29807	0	384	290	0.392562866
32039	355	50	0	1	1169746	1229325	2510	0	0	0.488876343
32416	331	51	0	0	155785	280900	4857	0	0	0.494628906
31920	352	50	0	0	218832	445353	2668	0	0	0.487060547
31683	360	50	0	0	406355	632196	2383	0	0	0.483444214
31543	374	48	0	1	1196004	1662705	579	0	0	0.481307983
30643	778	50	1	0	41934	41936	0	0	0	0.467575073
32146	337	50	0	1	1160730	1226099	5486	0	0	0.490509033
32496	338	51	0	0	199383	284376	4554	0	0	0.495849609
31252	382	50	0	0	194827	713984	1318	0	0	0.476867676
31695	327	48	0	1	969919	1273716	7631	0	0	0.483627319
28547	559	50	1	0	28389	28390	0	0	0	0.435592651
31625	406	50	0	1	1237981	1287083	813	0	0	0.482559204
32311	365	51	0	0	227565	390047	5665	0	0	0.493026733
31600	369	50	0	0	190341	577812	4231	0	0	0.482177734
31692	381	48	0	1	1025483	1286607	4147	0	0	0.483581543
30099	778	50	1	0	29913	29914	0	0	0	0.459274292
31758	407	50	0	1	1046864	1097155	2821	0	0	0.484588623
31740	409	51	0	0	122643	195481	1531	0	0	0.484313965
30650	416	50	0	0	136565	305271	908	0	0	0.467681885
