1	64	1	256	1	256	1	256	3	2048
1	256	1	256	1	256	1	64	3	2048
1	256	1	64	1	64	2	1024	4	1024
1	64	1	128	2	1024	2	768	4	1024
1	64	2	1024	2	512	2	768	4	1024
1	128	2	256	2	512	3	1024	5	1024
2	128	2	256	2	512	3	1024	5	1024
2	128	2	256	2	512	4	512	5	1024
2	512	2	256	2	512	4	512	5	1024
3	128	2	512	3	512	4	1024	5	1024
3	128	3	256	3	512	4	512		
3	128	3	256	3	512	4	1024		
4	128	3	256	3	512	4	1024		
4	128	3	256	3	512	4	512		
4	128	3	256	4	256	4	768		
4	128	4	256	4	512	4	768		
4	512	4	512	4	512	4	1024		
4	256	4	256	4	256	4	512		
4	1024	4	128	4	512	4	768		
4	1024	4	256	4	512	4	768		
5	120	4	256	4	512	4	1024		
5	256	4	512	4	512	4	1024		
5	512	4	256	4	512	4	1024		
5	256	4	256	4	512	4	1024		
5	120	4	256	4	512	4	1024		
5	256	4	256	4	512	4	1024		
5	256	4	256	4	512	4	1024		
5	256	4	256	4	512	4	1024		
5	256	4	256	4	512	5	512		
5	512	4	256	4	768	5	512		
5	512	4	512	4	512	5	512		
-	-	4	256	4	1024	5	512		
-	-	4	1024	4	512	5	512		
-	-	4	1024	4	512	5	512		
-	-	5	128	4	1024	5	512		
-	-	5	128	4	1024	5	1024		
-	-	5	256	5	256	5	1024		
-	-	5	512	5	512	5	512		
-	-	5	512	5	256	5	1000		
-	-	5	256	5	256	5	1024		
-	-	5	256	5	256	5	1024		
-	-	5	256	5	256	5	1024		
-	-	5	256	5	256	5	1024		
-	-	5	256	5	512	-	-		
-	-	5	256	5	256	-	-		
-	-	5	512	5	1024	-	-		
-	-	5	512	5	1024	-	-		
-	-	-	-	5	512	-	-		
-	-	-	-	5	512	-	-		
-	-	-	-	5	512	-	-		
-	-	-	-	5	512	-	-		
-	-	-	-	5	512	-	-		

