1	64	1.1	256	1	256	1.1	256	3	2048
1.1	256	0.9	256	1	256	0.8	64	3	2048
1.2	250	1.2	64	1	64	2	1024	4.3	1224
0.9	64	1	128	2	1024	2.1	768	4.1	1124
1	74	2.1	1024	2	512	2.2	768	3.7	1024
1.1	130	2	256	2	512	3.1	1024	5.4	1124
2	128	2.2	256	2	512	2.9	1024	5.1	1024
2.2	138	2	256	2	512	4.3	512	5.2	1124
2	512	1.9	256	2	512	4.2	512	4.7	954
3	128	2	512	3.1	512	3.8	1024	5.2	984
3.1	125	3	286	3.2	512	3.7	512		
3	128	2.9	236	3	512	3.9	1224		
4	128	3	246	3	512	4.4	1324		
4.1	138	2.8	276	3	512	4.2	512		
4.2	118	3	276	4	256	4.1	768		
3.8	128	4	256	4	552	4.3	768		
3.9	512	4.1	512	4	542	3.9	1024		
4	256	4.2	256	3.9	256	4.1	512		
3.8	1224	4	128	4.1	512	4	768		
4.1	1124	3.9	256	4.2	512	4.1	768		
5	120	3.8	256	4.4	492	4.1	1324		
5.1	256	4	512	42	502	4.3	1024		
5.2	512	4.1	286	4	532	4.1	924		
4.8	256	4.2	276	3.9	522	4.2	924		
4.7	120	4	256	3.8	482	3.8	824		
4.9	246	3.7	276	4.1	512	4.1	1224		
5	256	3.8	226	4.2	502	4	1124		
4.8	276	3.9	236	4	512	4.2	1224		
4.9	256	4	286	4	512	5	532		
5	500	4	276	4	768	5.1	512		
5.2	512	4	512	4	512	4.7	522		
-	-	4	256	4	1024	4.8	492		
-	-	3.8	1224	4	512	5.2	482		
-	-	4.1	1024	4	512	5.3	502		
-	-	4.8	138	4	1024	5.1	512		
-	-	4.7	148	4	1024	5	1024		
-	-	5.2	256	5	256	5	1014		
-	-	5.1	552	4.7	512	5	512		
-	-	5.2	542	4.6	216	5.2	1000		
-	-	5.1	216	5.2	236	5.1	1324		
-	-	4.8	226	5.1	226	5.2	1324		
-	-	4.6	256	5.3	256	5.3	1224		
-	-	4.8	246	5.1	256	5	1024		
-	-	4.9	236	5	512	-	-		
-	-	5	256	5	246	-	-		
-	-	5.2	512	5	994	-	-		
-	-	5.1	532	4.8	1024	-	-		
-	-	-	-	4.6	502	-	-		
-	-	-	-	4.7	532	-	-		
-	-	-	-	5.1	562	-	-		
-	-	-	-	5.1	482	-	-		
-	-	-	-	5.3	492	-	-		

