-	-	-
85124.05914	69765.61162	71745.27466
52985.964	56104.94795	52056.91458
51987.95491	54837.26047	59024.0248
47338.50793	55442.77247	57992.33555
44583.80612	56854.76468	60275.0376
42645.94855	56686.681	60454.52995
40824.51816	56538.10083	60857.91822
37737.42267	55751.75653	61672.12488
34202.02959	55800.02341	61839.39165
32620.35125	55676.99213	62362.49267
32515.68449	56354.26658	62371.10479
33573.18693	56429.1371	62376.63697
34848.24071	55025.6387	62288.97405
35554.85528	56050.94228	62107.1959
35147.13923	56367.06071	62486.06451

