-	-	-
1.26096366	1.379521838	1.375286848
1.807606205	1.703979694	1.729929949
1.836055155	1.742885911	1.5952794
1.981591523	1.721789687	1.613263499
2.075202702	1.661729795	1.577377485
2.15543429	1.684072718	1.576216424
2.236493097	1.691017179	1.56354
2.383899874	1.718510638	1.55229641
2.592217904	1.71900903	1.551923378
2.699500849	1.701363851	1.538583209
2.705900238	1.689785202	1.538906374
2.628003063	1.688846945	1.541195461
2.549711627	1.740961283	1.542549972
2.508629431	1.702938384	1.543236608
2.532921399	1.689807105	1.538252997

